Date,INTC,SMTC,AWSL,MU,AMAT,ASML,NVDA,TXN,QCOM,AMD
25-02-2000,0.211228299,0.043782124,1.148108027,0.54693897,-0.132238522,-0.511079342,-0.47754054,-0.17164443,-0.347732279,-0.042248586
28-02-2000,0.221587329,0.050298413,1.148624213,0.575688331,-0.128084045,-0.511024364,-0.477322083,-0.166093662,-0.348729791,-0.037394386
29-02-2000,0.232764332,0.056599824,1.148585986,0.606035637,-0.124061893,-0.510966877,-0.477102787,-0.161109463,-0.349739413,-0.032015093
01-03-2000,0.24466192,0.062621837,1.148009292,0.637529978,-0.120183953,-0.510909997,-0.47688677,-0.156769248,-0.350750598,-0.026157999
02-03-2000,0.257227943,0.068330881,1.146909559,0.669952166,-0.116439557,-0.510868524,-0.476674919,-0.153050594,-0.351672986,-0.019854619
03-03-2000,0.270434167,0.073701906,1.145304589,0.703255424,-0.1127789,-0.510842285,-0.47646794,-0.149954916,-0.352409837,-0.013068962
06-03-2000,0.28416917,0.078720169,1.143213837,0.737372017,-0.109204333,-0.510838193,-0.476267545,-0.14753209,-0.352982991,-0.005823088
07-03-2000,0.29838155,0.0833074,1.140656961,0.77205004,-0.105679089,-0.510849385,-0.476075385,-0.145747271,-0.353431801,0.00180948
08-03-2000,0.31302686,0.087456966,1.137824814,0.806875796,-0.102180165,-0.510872736,-0.475898462,-0.144528849,-0.353722538,0.009751126
09-03-2000,0.327977029,0.091227845,1.134724295,0.841688236,-0.098683669,-0.510906859,-0.475738923,-0.143798748,-0.353872614,0.01798076
10-03-2000,0.343080323,0.094637749,1.131199177,0.876098701,-0.095214424,-0.510957166,-0.47560113,-0.14358588,-0.353891549,0.026442112
13-03-2000,0.358240412,0.097741186,1.127268602,0.910004969,-0.091759888,-0.511033786,-0.475489129,-0.143850343,-0.353893762,0.035194991
14-03-2000,0.373331573,0.100573111,1.124284997,0.943050017,-0.088291568,-0.511132435,-0.475409946,-0.144522261,-0.35383158,0.044225811
15-03-2000,0.388295714,0.103164933,1.120869486,0.975167766,-0.084779942,-0.511249021,-0.47535546,-0.145483568,-0.353708798,0.0535642
16-03-2000,0.402989159,0.105535257,1.117031665,1.006136659,-0.081193031,-0.511379359,-0.475324786,-0.146663877,-0.353610952,0.063186518
17-03-2000,0.417290647,0.107583596,1.112782203,1.035803841,-0.077534284,-0.511523438,-0.475315775,-0.14809079,-0.353571144,0.073070872
20-03-2000,0.431022207,0.109259277,1.108133836,1.063884811,-0.073858228,-0.511685171,-0.475329101,-0.149778594,-0.353652453,0.08319163
21-03-2000,0.444085432,0.11062913,1.103101299,1.090284942,-0.070130586,-0.511862068,-0.47536374,-0.151662739,-0.353818485,0.093507941
22-03-2000,0.456404917,0.111727189,1.097698667,1.115027574,-0.066368325,-0.51204845,-0.475416703,-0.15370825,-0.354113917,0.104009293
23-03-2000,0.467834412,0.112452654,1.091937411,1.137720548,-0.06262162,-0.512246082,-0.475487058,-0.155949819,-0.354596973,0.114631452
24-03-2000,0.478275283,0.11269014,1.085826951,1.158271835,-0.058899081,-0.512457065,-0.475575482,-0.158353416,-0.355377514,0.125348366
27-03-2000,0.487696821,0.11246065,1.079376669,1.176620484,-0.055235635,-0.51268034,-0.475679962,-0.160897018,-0.356509535,0.136161701
28-03-2000,0.496011889,0.111765472,1.072595655,1.192674941,-0.051656144,-0.51291869,-0.475797984,-0.163578877,-0.358050219,0.147027134
29-03-2000,0.503247639,0.110722512,1.065492246,1.20644261,-0.048143325,-0.513169006,-0.475927904,-0.166377394,-0.360074144,0.157935052
30-03-2000,0.509403601,0.10941398,1.058469557,1.21791205,-0.044696753,-0.513419948,-0.47606772,-0.169234174,-0.362595741,0.168881479
31-03-2000,0.514495134,0.107839596,1.051511283,1.227255377,-0.041336169,-0.513669063,-0.476216349,-0.172079948,-0.365592612,0.179795955
03-04-2000,0.518466366,0.105958183,1.044215702,1.234461108,-0.038108753,-0.513917974,-0.476374551,-0.174881486,-0.369094492,0.190667052
04-04-2000,0.521340832,0.10384899,1.03658473,1.239698636,-0.035011866,-0.514159913,-0.476538898,-0.177555935,-0.373021292,0.20145967
05-04-2000,0.523118215,0.101543842,1.029127391,1.243117699,-0.03212144,-0.514398739,-0.476707796,-0.180046174,-0.377409443,0.212168626
06-04-2000,0.523861695,0.099046693,1.021322818,1.244737156,-0.029489371,-0.514640056,-0.476881836,-0.182361788,-0.382216779,0.222740904
07-04-2000,0.523621877,0.096453842,1.013170323,1.244787884,-0.027148862,-0.514887114,-0.477058936,-0.184523075,-0.387451163,0.233164444
10-04-2000,0.522409847,0.093738697,1.004667516,1.243395584,-0.025163973,-0.515138517,-0.477237452,-0.186560213,-0.393182569,0.243399356
11-04-2000,0.520325453,0.090965082,0.995810188,1.24082523,-0.023505841,-0.51538934,-0.477413718,-0.188430135,-0.399348392,0.253447846
12-04-2000,0.517373716,0.088097737,0.986594006,1.237264424,-0.022214807,-0.515638657,-0.477585464,-0.190124313,-0.405946888,0.263309043
13-04-2000,0.513661204,0.085205286,0.977014699,1.232954385,-0.021281505,-0.515882297,-0.477749584,-0.191621507,-0.412925198,0.272931594
14-04-2000,0.509288393,0.08233828,0.967069819,1.228186539,-0.020680608,-0.516118032,-0.477902774,-0.19291859,-0.42025518,0.282358781
17-04-2000,0.504402621,0.07961427,0.956756963,1.223240421,-0.020387894,-0.516339898,-0.478041863,-0.194020592,-0.427830277,0.291622439
18-04-2000,0.498988375,0.077052625,0.946072819,1.218130294,-0.020486788,-0.516552015,-0.478165253,-0.194971053,-0.435689744,0.30066687
19-04-2000,0.493082724,0.074574331,0.935014069,1.212941536,-0.021002988,-0.51676066,-0.47827304,-0.195781702,-0.443806016,0.309443978
20-04-2000,0.486833358,0.072219693,0.923578854,1.208014712,-0.021888759,-0.516963084,-0.478362634,-0.196429238,-0.452139547,0.317982222
24-04-2000,0.480323037,0.070004587,0.911765901,1.203450873,-0.023155741,-0.517159032,-0.478433324,-0.196933812,-0.460669778,0.326248246
25-04-2000,0.473651189,0.067981541,0.899573185,1.199492714,-0.024779126,-0.517342582,-0.478482682,-0.197282544,-0.469318234,0.334234081
26-04-2000,0.466893761,0.066162098,0.887206097,1.196359117,-0.026744659,-0.517515777,-0.478509856,-0.197498148,-0.478098304,0.341930543
27-04-2000,0.460173147,0.064699589,0.874858492,1.194278227,-0.029008968,-0.517676814,-0.478513721,-0.197576237,-0.486951221,0.349403243
28-04-2000,0.453545657,0.063525067,0.862509256,1.193345283,-0.031585286,-0.517826162,-0.478493754,-0.19757817,-0.495897069,0.356627898
01-05-2000,0.447105286,0.062598298,0.850135348,1.193706199,-0.034443644,-0.517964744,-0.478449311,-0.197527533,-0.504924501,0.363602085
02-05-2000,0.440906053,0.06188834,0.837713536,1.195507425,-0.037550016,-0.51809328,-0.478380171,-0.197449468,-0.514040927,0.370305567
03-05-2000,0.43506202,0.061475993,0.825218909,1.198937805,-0.040857947,-0.51821003,-0.47828547,-0.197346156,-0.523242177,0.376741889
04-05-2000,0.429658795,0.061387738,0.812624056,1.204056997,-0.044325654,-0.518312379,-0.478165362,-0.197217242,-0.532487585,0.382911526
05-05-2000,0.424756815,0.061586194,0.799900543,1.210884801,-0.047930767,-0.518399356,-0.478020303,-0.197098487,-0.541759432,0.38879816
